time_s,goal_distance_m,root_speed_mps,consecutive_hold_ticks
0.02,1.0700108997652573,0.2239890843629837,0
0.04,1.0716857230310273,0.1600816547870636,0
0.06,1.0737459900304944,0.12410692870616913,0
0.08,1.0751440706083846,0.07398143410682678,0
0.1,1.076142832345592,0.07398384809494019,0
0.12,1.077084555467359,0.08959661424160004,0
0.14,1.078030573536647,0.0963929072022438,0
0.16,1.0789955451334408,0.0872044563293457,0
0.18,1.0800035381376438,0.06947247684001923,0
0.2,1.0812249212005371,0.08675549924373627,0
0.22,1.0827270889784046,0.10719870775938034,0
0.24,1.084401757096627,0.1186152845621109,0
0.26,1.0860936106082326,0.11580834537744522,0
0.28,1.0878935462509285,0.12523917853832245,0
0.3,1.089589929724623,0.1404457539319992,0
0.32,1.0908598135186258,0.13787788152694702,0
0.34,1.0915407471965926,0.12185176461935043,0
0.36,1.0918149846679586,0.12637366354465485,0
0.38,1.0920144867556143,0.1241181418299675,0
0.4,1.0922415362224045,0.12732788920402527,0
0.42,1.0925116717949248,0.1306121051311493,0
0.44,1.0928819328352715,0.1276746243238449,0
0.46,1.0930429947600195,0.12054050713777542,0
0.48,1.0929553130942653,0.11488404124975204,0
0.5,1.0926808821130807,0.11414851993322372,0
0.52,1.0922927026380262,0.12229625135660172,0
0.54,1.0917040177397095,0.12322407960891724,0
0.56,1.0908784769892554,0.1332743912935257,0
0.58,1.0897105358081247,0.1329186111688614,0
0.6,1.0883045821656592,0.14947375655174255,0
0.62,1.0866799700333887,0.16169165074825287,0
0.64,1.0849015024313418,0.168598473072052,0
0.66,1.0830992845171115,0.17679862678050995,0
0.68,1.081187726430468,0.18461284041404724,0
0.7000000000000001,1.0790126078817983,0.19087770581245422,0
0.72,1.0765443522866245,0.20485857129096985,0
0.74,1.0736955358186533,0.23824723064899445,0
0.76,1.070544147425205,0.25516170263290405,0
0.78,1.0672403219618292,0.2713133692741394,0
0.8,1.063985462170661,0.2827466130256653,0
0.8200000000000001,1.0610760169588214,0.2863897383213043,0
0.84,1.0585238368427121,0.28831377625465393,0
0.86,1.0562173055189734,0.29509928822517395,0
0.88,1.054152441637323,0.29848676919937134,0
0.9,1.052318530279583,0.308782160282135,0
0.92,1.0506578678382652,0.2975095212459564,0
0.9400000000000001,1.0489660522917912,0.2660970091819763,0
0.96,1.0469816060171495,0.23380638659000397,0
0.98,1.0447457029533502,0.19516414403915405,0
1.0,1.0422284310501777,0.16989873349666595,0
1.02,1.0391967956979267,0.16704337298870087,0
1.04,1.035533990926739,0.19123373925685883,0
1.06,1.0311592326815218,0.22428278625011444,0
1.08,1.0261194156387716,0.273887038230896,0
1.1,1.0203919788331537,0.3187291622161865,0
1.12,1.0138893956518622,0.3509829640388489,0
1.1400000000000001,1.006529398677988,0.40274694561958313,0
1.16,0.9982330498796491,0.43621331453323364,0
1.18,0.9888957238601527,0.48359331488609314,0
1.2,0.9785209453917593,0.5169260501861572,0
1.22,0.9676743764602435,0.5565242767333984,0
1.24,0.9568052790510684,0.5955418348312378,0
1.26,0.9452926316961516,0.6346555352210999,0
1.28,0.9329595814980521,0.6667789816856384,0
1.3,0.9201313361884702,0.7112548351287842,0
1.32,0.907450384976136,0.6988858580589294,0
1.34,0.8948684605026067,0.6750472187995911,0
1.36,0.8821504662552297,0.670514702796936,0
1.3800000000000001,0.8690228226731899,0.6852388381958008,0
1.4000000000000001,0.8556376630398412,0.7074917554855347,0
1.42,0.8422557705994352,0.7208662033081055,0
1.44,0.8292875609271791,0.6814444065093994,0
1.46,0.8173304031359171,0.639397919178009,0
1.48,0.8061385097238141,0.6120271682739258,0
1.5,0.7953660147694035,0.5861146450042725,0
1.52,0.7849274664384353,0.5664300918579102,0
1.54,0.7745613342298671,0.5498711466789246,0
1.56,0.7641051950782152,0.5467668175697327,0
1.58,0.7535341263658156,0.5417255163192749,0
1.6,0.7428163607999563,0.5507283210754395,0
1.62,0.7319826435109478,0.5526010394096375,0
1.6400000000000001,0.7213803590926948,0.5607693791389465,0
1.6600000000000001,0.7109001485050161,0.558060348033905,0
1.68,0.7002382905101712,0.5535658597946167,0
1.7,0.6893881597056509,0.556143581867218,0
1.72,0.6785725856888272,0.5699896812438965,0
1.74,0.6676497327071117,0.5856364965438843,0
1.76,0.6563959284408365,0.6190353631973267,0
1.78,0.6446554206782552,0.6628448963165283,0
1.8,0.6326219687437192,0.6992462277412415,0
1.82,0.6203041195685448,0.725740373134613,0
1.84,0.6075987993512735,0.7454817295074463,0
1.86,0.5948094870316544,0.7306191325187683,0
1.8800000000000001,0.5819584710253098,0.7466293573379517,0
1.9000000000000001,0.5690705767335298,0.7502988576889038,0
1.92,0.5561783838757819,0.7546751499176025,0
1.94,0.543221740616613,0.7628093957901001,0
1.96,0.5301671795621214,0.7561231255531311,0
1.98,0.5169525069139866,0.7611278295516968,0
2.0,0.5036537951810897,0.7727394700050354,0
2.02,0.49061856277161736,0.7544617056846619,0
2.04,0.4782331791468995,0.7060905694961548,0
2.06,0.4667498190451642,0.6500279903411865,0
2.08,0.4561434832065541,0.591476321220398,0
2.1,0.44628147892125514,0.5396705865859985,0
2.12,0.43712389831528603,0.48763296008110046,0
2.14,0.42844283122724797,0.45024996995925903,0
2.16,0.4200004266277281,0.45181331038475037,0
2.18,0.4113712126196201,0.44582003355026245,0
2.2,0.4026369073481056,0.4490036964416504,0
2.22,0.39397963134517144,0.4528959095478058,0
2.24,0.38528952693414953,0.45628729462623596,0
2.2600000000000002,0.37622557035718,0.47313350439071655,0
2.2800000000000002,0.3666603116082093,0.4928358495235443,0
2.3000000000000003,0.35658292914948336,0.5363103747367859,0
2.32,0.34580335937065065,0.5835443139076233,0
2.34,0.33426193650317026,0.6322600245475769,0
2.36,0.3218841430678333,0.6680288314819336,0
2.38,0.308840099532734,0.7069456577301025,0
2.4,0.29525005187602593,0.7441626787185669,0
2.42,0.2811391663273111,0.7849425077438354,0
2.44,0.26687955054393436,0.8185557126998901,0
2.46,0.2524153515596791,0.8407803773880005,0
2.48,0.2384550034935585,0.7724656462669373,0
2.5,0.22539487894450214,0.7059449553489685,0
2.52,0.21322339373861626,0.6541478037834167,0
2.54,0.20181849131916957,0.6186900734901428,0
2.56,0.19076533141444746,0.6067522168159485,0
2.58,0.18020907800020575,0.5791882276535034,0
2.6,0.17000047290921078,0.5574045777320862,0
2.62,0.16016260953311384,0.5366724729537964,0
2.64,0.15088890209844188,0.5223672389984131,0
2.66,0.14207749390254087,0.5111187696456909,0
2.68,0.13363705320659122,0.4898171126842499,0
2.7,0.1257461309762635,0.46565961837768555,0
2.72,0.11849047702137695,0.44048458337783813,0
2.74,0.1121111197293036,0.39367786049842834,0
2.7600000000000002,0.10664692698510073,0.328570157289505,0
2.7800000000000002,0.10207136425301164,0.29067423939704895,0
2.8000000000000003,0.09846615885567271,0.2554970681667328,0
2.82,0.09595241202347875,0.21585214138031006,0
2.84,0.09451280346304528,0.18710041046142578,0
2.86,0.09419723254448761,0.1861356496810913,0
2.88,0.09499887417896603,0.20045512914657593,0
2.9,0.09674016576322701,0.21817447245121002,0
2.92,0.09920263125136845,0.24461053311824799,0
2.94,0.10243077867967706,0.26105621457099915,0
2.96,0.10609825059981697,0.29472824931144714,0
2.98,0.1096153527776499,0.27690574526786804,0
3.0,0.11279424966813914,0.24374833703041077,0
3.02,0.11581465766585623,0.22530245780944824,0
3.04,0.11867183546273821,0.19525961577892303,0
3.06,0.12118086000694239,0.17997997999191284,0
3.08,0.12330285727379929,0.16925765573978424,0
3.1,0.12512518663128952,0.14756739139556885,0
3.12,0.12677494762388739,0.11912041157484055,0
3.14,0.12819796703761624,0.1079423800110817,0
3.16,0.12923479139708624,0.09804701060056686,1
3.18,0.12991259806824057,0.07516558468341827,2
3.2,0.13013403722050707,0.07494866102933884,3
3.22,0.12997206883799126,0.09277033805847168,4
3.24,0.12955473107309332,0.0985080897808075,5
3.2600000000000002,0.12902689853862123,0.10503291338682175,0
3.2800000000000002,0.12860702199229354,0.11682713031768799,0
3.3000000000000003,0.12841217050532358,0.12483079731464386,0
3.3200000000000003,0.12857601959265647,0.1259787231683731,0
3.34,0.12908646846539912,0.12372289597988129,0
3.36,0.1298970276345557,0.10920901596546173,0
3.38,0.13093824518087865,0.12201126664876938,0
3.4,0.1320835862792699,0.11171270906925201,0
3.42,0.1332613960574739,0.09449790418148041,1
3.44,0.13442192881818021,0.08498942106962204,2
3.46,0.1355407701774222,0.07474014163017273,3
3.48,0.13654949883490192,0.07577022165060043,4
3.5,0.13753938537218127,0.06657129526138306,5
3.52,0.13855294300951154,0.06557715684175491,6
3.54,0.13957041605572848,0.07105732709169388,7
3.56,0.14061403021748892,0.08255359530448914,8
3.58,0.14176819788631137,0.10551903396844864,0
3.6,0.14306627267563557,0.11580625921487808,0
3.62,0.14438445134215264,0.128153458237648,0
3.64,0.1457307795601159,0.11379031836986542,0
3.66,0.14699394734817764,0.10833999514579773,0
3.68,0.14805879726715607,0.11886486411094666,0
3.7,0.1488900461906285,0.10844822973012924,0
3.72,0.14935394619822168,0.10062339901924133,0
