episode_id,family_id,cell_role,motion_role,operator,behaviour_class,scene_id,obstacle_underside_m,route_reaches_obstacle,frames_inside_obstacle,outcome,rejection_reasons,min_clearance_mm,clearance_frame,closest_body,external_force_n,overhead_force_n,lateral_force_n,self_force_n,contact_body,contact_frame,drift_rate_mps,frames,trajectory_path,scene_path,video_room,video_side,video_ego,video_front,video_top,n_videos,commanded_amplitude_rad,executed_amplitude_rad,operator_survival,survival_drift_margin,source_family_id,variant_id,source_identity_status,constraint_axis,constraint_coordinate_m,binding_keypoint,binding_keypoint_margin_mm,edit_behaviour_class,binding_station_offset_mm
cs_duck_003__door_lintel__s00000017/nominal_easy,cs_duck_003__door_lintel__s00000017,nominal_easy,nominal,local_crouch,crouch,cs_duck_003__door_lintel__s00000017__easy,1.390625,1,24,accepted,,88.871,130,torso_link,0.0,0.0,0.0,83.0,,,0.0195,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/nominal_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__door_lintel__s00000017__easy.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/nominal_easy/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__door_lintel__s00000017,manifest,overhead,1.390625,head_torso,88.871,crouch,0.0
cs_duck_003__door_lintel__s00000017/nominal_hard,cs_duck_003__door_lintel__s00000017,nominal_hard,nominal,local_crouch,crouch,cs_duck_003__door_lintel__s00000017__hard,1.2125,1,88,rejected,disallowed_robot_contact;unstable_reference_drift,-0.051,159,torso_link,395.0,395.0,91.6,83.0,torso_link,109,0.5857,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/nominal_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__door_lintel__s00000017__hard.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/nominal_hard/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__door_lintel__s00000017,manifest,overhead,1.2125,head_torso,-0.051,crouch,0.0
cs_duck_003__door_lintel__s00000017/adapted_easy,cs_duck_003__door_lintel__s00000017,adapted_easy,adapted,local_crouch,crouch,cs_duck_003__door_lintel__s00000017__easy,1.390625,1,31,accepted,,195.395,105,torso_link,0.0,0.0,0.0,224.7,,,0.0977,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/adapted_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__door_lintel__s00000017__easy.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/adapted_easy/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__door_lintel__s00000017,manifest,overhead,1.390625,head_torso,195.395,crouch,0.0
cs_duck_003__door_lintel__s00000017/adapted_hard,cs_duck_003__door_lintel__s00000017,adapted_hard,adapted,local_crouch,crouch,cs_duck_003__door_lintel__s00000017__hard,1.2125,1,31,accepted,,48.43,101,torso_link,0.0,0.0,0.0,224.7,,,0.0977,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/adapted_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__door_lintel__s00000017__hard.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/door_lintel/adapted_hard/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__door_lintel__s00000017,manifest,overhead,1.2125,head_torso,48.43,crouch,0.0
cs_duck_003__hvac_duct__s00000017/nominal_easy,cs_duck_003__hvac_duct__s00000017,nominal_easy,nominal,local_crouch,crouch,cs_duck_003__hvac_duct__s00000017__easy,1.390625,1,24,accepted,,93.253,130,torso_link,0.0,0.0,0.0,99.3,,,-0.0133,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/nominal_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__hvac_duct__s00000017__easy.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/nominal_easy/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__hvac_duct__s00000017,manifest,overhead,1.390625,head_torso,93.253,crouch,0.0
cs_duck_003__hvac_duct__s00000017/nominal_hard,cs_duck_003__hvac_duct__s00000017,nominal_hard,nominal,local_crouch,crouch,cs_duck_003__hvac_duct__s00000017__hard,1.2125,1,66,rejected,disallowed_robot_contact;unstable_reference_drift,-0.102,133,torso_link,774.9,774.9,749.9,99.3,torso_link,110,0.491,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/nominal_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__hvac_duct__s00000017__hard.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/nominal_hard/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__hvac_duct__s00000017,manifest,overhead,1.2125,head_torso,-0.102,crouch,0.0
cs_duck_003__hvac_duct__s00000017/adapted_easy,cs_duck_003__hvac_duct__s00000017,adapted_easy,adapted,local_crouch,crouch,cs_duck_003__hvac_duct__s00000017__easy,1.390625,1,32,accepted,,201.213,106,torso_link,0.0,0.0,0.0,244.4,,,0.0517,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/adapted_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__hvac_duct__s00000017__easy.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/adapted_easy/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__hvac_duct__s00000017,manifest,overhead,1.390625,head_torso,201.213,crouch,0.0
cs_duck_003__hvac_duct__s00000017/adapted_hard,cs_duck_003__hvac_duct__s00000017,adapted_hard,adapted,local_crouch,crouch,cs_duck_003__hvac_duct__s00000017__hard,1.2125,1,32,accepted,,58.404,102,torso_link,0.0,0.0,0.0,244.4,,,0.0517,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/adapted_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__hvac_duct__s00000017__hard.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/hvac_duct/adapted_hard/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__hvac_duct__s00000017,manifest,overhead,1.2125,head_torso,58.404,crouch,0.0
cs_duck_003__ibeam__s00000017/nominal_easy,cs_duck_003__ibeam__s00000017,nominal_easy,nominal,local_crouch,crouch,cs_duck_003__ibeam__s00000017__easy,1.390625,1,26,accepted,,91.603,130,torso_link,0.0,0.0,0.0,61.1,,,0.0067,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/ibeam/nominal_easy/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__ibeam__s00000017__easy.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/ibeam/nominal_easy/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__ibeam__s00000017,manifest,overhead,1.390625,head_torso,91.603,crouch,0.0
cs_duck_003__ibeam__s00000017/nominal_hard,cs_duck_003__ibeam__s00000017,nominal_hard,nominal,local_crouch,crouch,cs_duck_003__ibeam__s00000017__hard,1.2125,1,88,rejected,disallowed_robot_contact;unstable_reference_drift,-0.083,172,torso_link,673.6,673.6,105.9,166.0,torso_link,109,0.5348,199,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/ibeam/nominal_hard/trajectories/000000.trajectory.pkl,/home/robotixx/GR00T-WholeBodyControl/gear_sonic/data/assets/scenes/hallucinated_variants_v1_e1/cs_duck_003__ibeam__s00000017__hard.usda,,,/data/robotixx/groot-wbc-kimodo-m0/hallucination/e2_variant_transfer/ibeam/nominal_hard/renders/000000.mp4,,,1,,,,,cf_005_056,cs_duck_003__ibeam__s00000017,manifest,overhead,1.2125,head_torso,-0.083,crouch,0.0
