method,seed,mode,target,critical_mass,clear_mass,penetration_mass,retained_mass,abstained,p
uniform_grid,NA,raw,neutral,0.0,0.3567708439659327,0.6197916851378977,0.3567708439659327,False,
uniform_grid,NA,raw,short_e015_r265,0.0026041667442768812,0.3567708439659327,0.6119791849050671,0.3567708439659327,False,
uniform_grid,NA,raw,sustained_e015_r255,0.033854167675599456,0.41145834559574723,0.5677083502523601,0.41145834559574723,False,
uniform_grid,NA,raw,prior_splice_e015_r265,0.02083333395421505,0.3984375118743628,0.5833333507180214,0.3984375118743628,False,
uniform_grid,NA,raw,prior_splice_e050_r265,0.015625000465661287,0.3906250116415322,0.5833333507180214,0.3906250116415322,False,
uniform_grid,NA,raw,short_e070_r265,0.0026041667442768812,0.3567708439659327,0.6119791849050671,0.3567708439659327,False,
uniform_grid,NA,raw,sustained_e070_r255,0.03645833441987634,0.4140625123400241,0.5677083502523601,0.4140625123400241,False,
uniform_grid,NA,constrained,neutral,0.0,0.9999999999999999,0.0,0.3567708439659327,False,
uniform_grid,NA,constrained,short_e015_r265,0.0072992700729927005,1.0,0.0,0.3567708439659327,False,
uniform_grid,NA,constrained,sustained_e015_r255,0.08227848101265824,1.0,0.0,0.41145834559574723,False,
uniform_grid,NA,constrained,prior_splice_e015_r265,0.05228758169934641,0.9999999999999999,0.0,0.3984375118743628,False,
uniform_grid,NA,constrained,prior_splice_e050_r265,0.04,1.0,0.0,0.3906250116415322,False,
uniform_grid,NA,constrained,short_e070_r265,0.0072992700729927005,1.0,0.0,0.3567708439659327,False,
uniform_grid,NA,constrained,sustained_e070_r255,0.08805031446540881,1.0,0.0,0.4140625123400241,False,
unconditional,301,raw,neutral,0.0,0.0015722579996384298,0.8514592007598885,0.0015722579996384298,False,
unconditional,301,raw,short_e015_r265,0.08097126334905624,0.08097607390706461,0.8443175272881099,0.08097607390706461,False,
unconditional,301,raw,sustained_e015_r255,0.9435514472424984,0.9574863832535506,0.0018364855535374655,0.9574863832535506,False,
unconditional,301,raw,prior_splice_e015_r265,0.7524306233972311,0.7663655594082833,0.08379998981068373,0.7663655594082833,False,
unconditional,301,raw,prior_splice_e050_r265,0.6063666734844446,0.6133427164608896,0.08379998981068373,0.6133427164608896,False,
unconditional,301,raw,short_e070_r265,0.08097126334905624,0.08097607390706461,0.8443175272881099,0.08097607390706461,False,
unconditional,301,raw,sustained_e070_r255,0.947965148370713,0.9619000843817652,0.0018364855535374655,0.9619000843817652,False,
unconditional,301,constrained,neutral,0.0,1.0,0.0,0.0015722579996384298,False,
unconditional,301,constrained,short_e015_r265,0.9999405928470441,1.0,0.0,0.08097607390706461,False,
unconditional,301,constrained,sustained_e015_r255,0.9854463350552296,1.0,0.0,0.9574863832535506,False,
unconditional,301,constrained,prior_splice_e015_r265,0.9818168551026596,0.9999999999999999,0.0,0.7663655594082833,False,
unconditional,301,constrained,prior_splice_e050_r265,0.9886261908893317,1.0,0.0,0.6133427164608896,False,
unconditional,301,constrained,short_e070_r265,0.9999405928470441,1.0,0.0,0.08097607390706461,False,
unconditional,301,constrained,sustained_e070_r255,0.9855131148886338,0.9999999999999999,0.0,0.9619000843817652,False,
unconditional,302,raw,neutral,0.0,0.010785277255330291,0.8570269155451542,0.010785277255330291,False,
unconditional,302,raw,short_e015_r265,0.08079676330089569,0.08224471497580788,0.7694919947670287,0.08224471497580788,False,
unconditional,302,raw,sustained_e015_r255,0.8109954576939344,0.8808426871173866,0.017197877880695975,0.8808426871173866,False,
unconditional,302,raw,prior_splice_e015_r265,0.5568294152617455,0.6266766446851976,0.13242231776430063,0.6266766446851976,False,
unconditional,302,raw,prior_splice_e050_r265,0.456086914986372,0.5159553685434946,0.13242231776430063,0.5159553685434946,False,
unconditional,302,raw,short_e070_r265,0.08079676330089569,0.08224471497580788,0.7694919947670287,0.08224471497580788,False,
unconditional,302,raw,sustained_e070_r255,0.8242159457877278,0.89406317521118,0.017197877880695975,0.89406317521118,False,
unconditional,302,constrained,neutral,0.0,1.0,0.0,0.010785277255330291,False,
unconditional,302,constrained,short_e015_r265,0.9823945930709579,1.0000000000000002,0.0,0.08224471497580788,False,
unconditional,302,constrained,sustained_e015_r255,0.9207040820739153,1.0000000000000002,0.0,0.8808426871173866,False,
unconditional,302,constrained,prior_splice_e015_r265,0.8885434298280912,1.0000000000000002,0.0,0.6266766446851976,False,
unconditional,302,constrained,prior_splice_e050_r265,0.8839658288155292,1.0,0.0,0.5159553685434946,False,
unconditional,302,constrained,short_e070_r265,0.9823945930709579,1.0000000000000002,0.0,0.08224471497580788,False,
unconditional,302,constrained,sustained_e070_r255,0.9218766286767667,1.0,0.0,0.89406317521118,False,
cover,301,raw,neutral,0.0,0.0006614526883275732,0.9776735237443943,0.0006614526883275732,False,
cover,301,raw,short_e015_r265,0.23816779255867004,0.23879692135091682,0.5709446105435134,0.23879692135091682,False,
cover,301,raw,sustained_e015_r255,0.7673326730728149,0.8074409001367674,0.03052678904173332,0.8074409001367674,False,
cover,301,raw,prior_splice_e015_r265,0.6474535958841443,0.7315255049919078,0.08507950049259783,0.7315255049919078,False,
cover,301,raw,prior_splice_e050_r265,0.5972553864121437,0.6768395180231259,0.08188377888621359,0.6768395180231259,False,
cover,301,raw,short_e070_r265,0.23814307153224945,0.23877219357229326,0.5709494876118932,0.23877219357229326,False,
cover,301,raw,sustained_e070_r255,0.8063627947121859,0.8457916142653957,0.02974302047176116,0.8457916142653957,False,
cover,301,constrained,neutral,0.0,1.0,0.0,0.0006614526883275732,False,
cover,301,constrained,short_e015_r265,0.9973654233535019,1.0,0.0,0.23879692135091682,False,
cover,301,constrained,sustained_e015_r255,0.9503267334399845,1.0,0.0,0.8074409001367674,False,
cover,301,constrained,prior_splice_e015_r265,0.8850731676010483,1.0,0.0,0.7315255049919078,False,
cover,301,constrained,prior_splice_e050_r265,0.8824180186118167,1.0000000000000002,0.0,0.6768395180231259,False,
cover,301,constrained,short_e070_r265,0.9973651787897433,1.0000000000000002,0.0,0.23877219357229326,False,
cover,301,constrained,sustained_e070_r255,0.953382347509492,1.0,0.0,0.8457916142653957,False,
cover,302,raw,neutral,0.0,0.007807631959015234,0.8958721033108168,0.007807631959015234,False,
cover,302,raw,short_e015_r265,0.1780521124601364,0.17895610797670697,0.6491790824485199,0.17895610797670697,False,
cover,302,raw,sustained_e015_r255,0.7965425923466682,0.8445168049547719,0.015926462010728323,0.8445168049547719,False,
cover,302,raw,prior_splice_e015_r265,0.6340475603938103,0.7371124488562462,0.0775805486454812,0.7371124488562462,False,
cover,302,raw,prior_splice_e050_r265,0.5474395202472806,0.6397102794732975,0.07870901829516298,0.6397102794732975,False,
cover,302,raw,short_e070_r265,0.17807437479496002,0.17897835432319062,0.6491711260916124,0.17897835432319062,False,
cover,302,raw,sustained_e070_r255,0.836867693811655,0.8824728571193364,0.017135531501220276,0.8824728571193364,False,
cover,302,constrained,neutral,0.0,1.0000000000000002,0.0,0.007807631959015234,False,
cover,302,constrained,short_e015_r265,0.9949485070568912,0.9999999999999999,0.0,0.17895610797670697,False,
cover,302,constrained,sustained_e015_r255,0.9431933002083092,1.0,0.0,0.8445168049547719,False,
cover,302,constrained,prior_splice_e015_r265,0.8601775229514054,1.0,0.0,0.7371124488562462,False,
cover,302,constrained,prior_splice_e050_r265,0.8557616436897222,1.0,0.0,0.6397102794732975,False,
cover,302,constrained,short_e070_r265,0.99494922426989,0.9999999999999999,0.0,0.17897835432319062,False,
cover,302,constrained,sustained_e070_r255,0.9483211716487794,1.0,0.0,0.8824728571193364,False,
masked,301,raw,neutral,0.0,0.029550879794710286,0.7224662521685368,0.029550879794710286,False,
masked,301,raw,short_e015_r265,0.11060242354869843,0.11428727979245429,0.6557514534273786,0.11428727979245429,False,
masked,301,raw,sustained_e015_r255,0.7830937299877405,0.9089140697287474,0.009059902867353767,0.9089140697287474,False,
masked,301,raw,prior_splice_e015_r265,0.7714969832450151,0.9043252504349995,0.017633515703213948,0.9043252504349995,False,
masked,301,raw,prior_splice_e050_r265,0.71791808353737,0.8296157870254635,0.017714550180439395,0.8296157870254635,False,
masked,301,raw,short_e070_r265,0.11060254275798798,0.1142873948908924,0.6557514904193777,0.1142873948908924,False,
masked,301,raw,sustained_e070_r255,0.7995954053476453,0.9156445781777447,0.009633563740762921,0.9156445781777447,False,
masked,301,constrained,neutral,0.0,1.0,0.0,0.029550879794710286,False,
masked,301,constrained,short_e015_r265,0.9677579495246753,1.0,0.0,0.11428727979245429,False,
masked,301,constrained,sustained_e015_r255,0.8615706985605842,1.0,0.0,0.9089140697287474,False,
masked,301,constrained,prior_splice_e015_r265,0.8531189225048276,1.0,0.0,0.9043252504349995,False,
masked,301,constrained,prior_splice_e050_r265,0.8653621287890643,1.0,0.0,0.8296157870254635,False,
masked,301,constrained,short_e070_r265,0.9677580179649534,1.0,0.0,0.1142873948908924,False,
masked,301,constrained,sustained_e070_r255,0.8732595860928344,1.0,0.0,0.9156445781777447,False,
masked,302,raw,neutral,0.0,0.019571515184217896,0.8101999753466335,0.019571515184217896,False,
masked,302,raw,short_e015_r265,0.143013596534729,0.14367068553959716,0.6697579125304902,0.14367068553959716,False,
masked,302,raw,sustained_e015_r255,0.7997362054884434,0.8536974141290627,0.019015577997750627,0.8536974141290627,False,
masked,302,raw,prior_splice_e015_r265,0.6527253044769168,0.7433891071660449,0.08635271338574813,0.7433891071660449,False,
masked,302,raw,prior_splice_e050_r265,0.5877875341102481,0.6809127828529793,0.08123495796562251,0.6809127828529793,False,
masked,302,raw,short_e070_r265,0.1430133432149887,0.14367043271933608,0.6697576168306343,0.14367043271933608,False,
masked,302,raw,sustained_e070_r255,0.8111392362043262,0.8696475202549703,0.01965266828717024,0.8696475202549703,False,
masked,302,constrained,neutral,0.0,0.9999999999999998,0.0,0.019571515184217896,False,
masked,302,constrained,short_e015_r265,0.9954264225690838,0.9999999999999998,0.0,0.14367068553959716,False,
masked,302,constrained,sustained_e015_r255,0.936791177122552,1.0,0.0,0.8536974141290627,False,
masked,302,constrained,prior_splice_e015_r265,0.8780399096312327,0.9999999999999998,0.0,0.7433891071660449,False,
masked,302,constrained,prior_splice_e050_r265,0.8632346886593278,1.0000000000000002,0.0,0.6809127828529793,False,
masked,302,constrained,short_e070_r265,0.9954264110442891,1.0,0.0,0.14367043271933608,False,
masked,302,constrained,sustained_e070_r255,0.9327218411046694,1.0,0.0,0.8696475202549703,False,
contrast,301,raw,neutral,0.0,1.0000000609286395,4.625770764538878e-14,1.0000000609286395,False,
contrast,301,raw,short_e015_r265,0.18390466272830963,0.18469102427173864,0.6525205443976262,0.18469102427173864,False,
contrast,301,raw,sustained_e015_r255,0.7570717725902796,0.7924879551573916,0.04184738072954834,0.7924879551573916,False,
contrast,301,raw,prior_splice_e015_r265,0.6584650306031108,0.7148847146600201,0.09464547093299824,0.7148847146600201,False,
contrast,301,raw,prior_splice_e050_r265,0.6140709235332906,0.6675490205564923,0.10020949119198683,0.6675490205564923,False,
contrast,301,raw,short_e070_r265,0.18390324711799622,0.18468962457770613,0.6525253513007513,0.18468962457770613,False,
contrast,301,raw,sustained_e070_r255,0.7729780217632651,0.8104076854662873,0.042332528500793866,0.8104076854662873,False,
contrast,301,constrained,neutral,0.0,1.0,0.0,1.0000000609286395,False,
contrast,301,constrained,short_e015_r265,0.9957422860881857,1.0,0.0,0.18469102427173864,False,
contrast,301,constrained,sustained_e015_r255,0.9553101314201322,1.0,0.0,0.7924879551573916,False,
contrast,301,constrained,prior_splice_e015_r265,0.9210786258260663,1.0,0.0,0.7148847146600201,False,
contrast,301,constrained,prior_splice_e050_r265,0.9198888839974321,1.0000000000000004,0.0,0.6675490205564923,False,
contrast,301,constrained,short_e070_r265,0.9957421676420212,1.0,0.0,0.18468962457770613,False,
contrast,301,constrained,sustained_e070_r255,0.9538137848711467,1.0,0.0,0.8104076854662873,False,
contrast,302,raw,neutral,0.0,0.7737745385869821,0.01111360307173056,0.7737745385869821,False,
contrast,302,raw,short_e015_r265,0.18227016925811768,0.18303399230208375,0.6457904216357876,0.18303399230208375,False,
