stage,run,takeover_tick,supported,rows,supported_rows,suffix_hold,suffix_final_distance_m,behavior
dag-approach/c2-recovery,00976-stop-corridor-t45,45,True,383,338,50,0.1620639299032495,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00976-stop-corridor-t95,95,False,500,0,8,0.26683898974465536,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-uniform/c2-recovery,00120-stop-clear-t128,128,True,516,388,50,0.1802887073798817,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00120-stop-clear-t61,61,True,516,455,50,0.12935047334476038,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00120-stop-corridor-t128,128,True,517,389,50,0.14230244352014287,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00120-stop-corridor-t61,61,True,515,454,50,0.10039919441201138,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-clear-t47,47,True,396,349,50,0.17242305153629203,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-clear-t98,98,True,415,317,50,0.2256374518258226,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-corridor-t47,47,True,394,347,50,0.17245850954820494,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-corridor-t98,98,False,500,0,0,0.28167213040320854,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00413-stop-clear-t124,124,False,600,0,0,0.38606195131492144,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00413-stop-clear-t59,59,True,508,449,50,0.22327147935594677,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-clear-t33,33,True,272,239,50,0.1867549351119347,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-clear-t69,69,True,278,209,50,0.10465305500321687,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-corridor-t32,32,True,272,240,50,0.21664366151574685,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-corridor-t68,68,True,273,205,50,0.1728031243356716,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-clear-t26,26,True,221,195,50,0.0907144352977429,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-clear-t55,55,True,254,199,50,0.0960937487480517,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-corridor-t26,26,True,221,195,50,0.08739127364913236,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-corridor-t55,55,True,221,166,50,0.09059841166669336,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00711-stop-clear-t103,103,True,414,311,50,0.1441059219297574,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00711-stop-clear-t49,49,True,414,365,50,0.18974373675265055,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00711-stop-corridor-t103,103,True,415,312,50,0.09952257603069242,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00711-stop-corridor-t49,49,True,414,365,50,0.1745551004898333,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-clear-t40,40,True,339,299,50,0.14572853242352587,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-clear-t85,85,True,343,258,50,0.15766595515129156,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-corridor-t40,40,True,339,299,50,0.13352137087161958,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00770-stop-corridor-t85,85,True,343,258,50,0.1475499494484888,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-clear-t142,142,False,625,0,0,0.2523610247495746,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-clear-t68,68,True,561,493,50,0.24432495301444035,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-corridor-t142,142,False,625,0,0,0.30462141707605467,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00801-stop-corridor-t68,68,True,622,554,50,0.23482378994711417,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-clear-t26,26,True,224,198,50,0.0876357325917131,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-clear-t56,56,True,222,166,50,0.06972990606157889,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-corridor-t26,26,True,224,198,50,0.08617514717989914,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00908-stop-corridor-t55,55,True,229,174,50,0.08427194074867536,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-clear-t45,45,True,383,338,50,0.1684724613368093,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-clear-t95,95,True,384,289,50,0.1796764608686651,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-corridor-t45,45,True,384,339,50,0.1682093840475476,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00976-stop-corridor-t95,95,True,384,289,50,0.20176365463484763,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
