stage,run,success,reached,hold,final_distance_m,max_force_n,fell,steps,stop,actor_profile,student
dag-approach/c2-recovery,00801-stop-corridor-t68,True,True,50,0.227,0.0,False,561,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00908-stop-clear-t26,True,True,50,0.081,0.0,False,224,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00908-stop-clear-t56,True,True,50,0.073,0.0,False,230,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00908-stop-corridor-t26,True,True,50,0.084,0.0,False,224,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00908-stop-corridor-t55,True,True,50,0.082,0.0,False,223,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00976-stop-clear-t45,True,True,50,0.164,0.0,False,384,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00976-stop-clear-t95,False,True,8,0.271,0.0,False,500,deadline,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00976-stop-corridor-t45,True,True,50,0.162,0.0,False,383,goal_hold,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-approach/c2-recovery,00976-stop-corridor-t95,False,True,8,0.267,0.0,False,500,deadline,nav_goal_map_localization_v2,e7197fca1e6cce8d472bda2a0640edf231d33ec52473f4cd75e935f58de214f3
dag-uniform/c2-recovery,00120-stop-clear-t128,True,True,50,0.18,0.0,False,516,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00120-stop-clear-t61,True,True,50,0.129,0.0,False,516,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00120-stop-corridor-t128,True,True,50,0.142,0.0,False,517,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00120-stop-corridor-t61,True,True,50,0.1,0.0,False,515,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-clear-t47,True,True,50,0.172,0.0,False,396,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-clear-t98,True,True,50,0.226,0.0,False,415,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-corridor-t47,True,True,50,0.172,0.0,False,394,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00265-stop-corridor-t98,False,True,0,0.282,0.0,False,500,deadline,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00413-stop-clear-t124,False,False,0,0.386,0.0,False,600,deadline,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00413-stop-clear-t59,True,True,50,0.223,0.0,False,508,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-clear-t33,True,True,50,0.187,0.0,False,272,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-clear-t69,True,True,50,0.105,0.0,False,278,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-corridor-t32,True,True,50,0.217,0.0,False,272,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00677-stop-corridor-t68,True,True,50,0.173,0.0,False,273,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-clear-t26,True,True,50,0.091,0.0,False,221,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-clear-t55,True,True,50,0.096,0.0,False,254,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-corridor-t26,True,True,50,0.087,0.0,False,221,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
dag-uniform/c2-recovery,00707-stop-corridor-t55,True,True,50,0.091,0.0,False,221,goal_hold,nav_goal_map_localization_v2,3506429b37dc6028c031efa4d7d2c3653c23854f40abc7d65078e0da29d17b48
