method,seed,condition,target,test_cells,critical_cells,training_critical_cells,abstained,critical_mass,clear_mass,penetration_witness_mass,uncertain_mass,effective_grid_cells
contrast,301,conditioned,short_e015_r265,384,1,21,False,0.18390466272830963,0.18469101190567017,0.6525205373764038,0.16278837621212006,15.601207733154297
contrast,301,conditioned,sustained_e015_r255,384,13,30,False,0.7570717930793762,0.7924878597259521,0.04184738174080849,0.1656646430492401,19.48347282409668
contrast,301,conditioned,prior_splice_e015_r265,384,8,20,False,0.6584650278091431,0.7148846387863159,0.09464547038078308,0.19046980142593384,14.13908863067627
contrast,301,conditioned,prior_splice_e050_r265,384,6,19,False,0.6140708923339844,0.6675490140914917,0.10020948946475983,0.23224154114723206,14.42927074432373
contrast,301,conditioned,short_e070_r265,384,1,21,False,0.18390324711799622,0.18468961119651794,0.6525253653526306,0.16278506815433502,15.601333618164062
contrast,301,conditioned,sustained_e070_r255,384,14,30,False,0.7729780673980713,0.8104076981544495,0.04233253002166748,0.14725977182388306,19.811145782470703
contrast,301,input_rotated,neutral,384,0,0,False,0.0,0.007650350220501423,0.9314568042755127,0.060892850160598755,19.811248779296875
contrast,301,input_rotated,short_e015_r265,384,1,21,False,9.97472181861743e-19,1.0,4.834393451422052e-14,1.4564387890159125e-11,11.157426834106445
contrast,301,input_rotated,sustained_e015_r255,384,13,30,False,0.8496792912483215,0.8758871555328369,0.015315785072743893,0.10879696905612946,15.601207733154297
contrast,301,input_rotated,prior_splice_e015_r265,384,8,20,False,0.3379780948162079,0.37339428067207336,0.30003684759140015,0.3265688419342041,19.48347282409668
contrast,301,input_rotated,prior_splice_e050_r265,384,6,19,False,0.6250611543655396,0.6794975996017456,0.09464683383703232,0.22585557401180267,14.139159202575684
contrast,301,input_rotated,short_e070_r265,384,1,21,False,0.052115920931100845,0.05469778925180435,0.8298285603523254,0.11547370254993439,14.42927074432373
contrast,301,input_rotated,sustained_e070_r255,384,14,30,False,0.862281322479248,0.8884899020195007,0.015316112898290157,0.09619398415088654,15.601333618164062
combined,301,conditioned,neutral,384,0,0,False,0.0,0.5802359580993652,0.07114934921264648,0.3486146628856659,26.547109603881836
combined,301,conditioned,short_e015_r265,384,1,21,False,0.26132458448410034,0.26147913932800293,0.4972958564758301,0.24122507870197296,13.182489395141602
combined,301,conditioned,sustained_e015_r255,384,13,30,False,0.6348559856414795,0.6586199402809143,0.056994128972291946,0.28438600897789,21.380861282348633
combined,301,conditioned,prior_splice_e015_r265,384,8,20,False,0.4455437660217285,0.4793623983860016,0.24043434858322144,0.2802032232284546,16.743379592895508
combined,301,conditioned,prior_splice_e050_r265,384,6,19,False,0.42944586277008057,0.4544869661331177,0.23754459619522095,0.307968407869339,16.36707878112793
combined,301,conditioned,short_e070_r265,384,1,21,False,0.26132455468177795,0.26147910952568054,0.49729618430137634,0.2412247359752655,13.1824951171875
combined,301,conditioned,sustained_e070_r255,384,14,30,False,0.6510936617851257,0.6727822422981262,0.05991719290614128,0.2673005163669586,21.41257095336914
combined,301,input_rotated,neutral,384,0,0,False,0.0,0.001378293614834547,0.9510416984558105,0.047580089420080185,21.41257095336914
combined,301,input_rotated,short_e015_r265,384,1,21,False,0.0025231109466403723,0.5813277959823608,0.0668034553527832,0.35186874866485596,26.547109603881836
combined,301,input_rotated,sustained_e015_r255,384,13,30,False,0.7978147864341736,0.8114723563194275,0.016697676852345467,0.17182999849319458,13.182489395141602
combined,301,input_rotated,prior_splice_e015_r265,384,8,20,False,0.2361958920955658,0.2599598467350006,0.46895867586135864,0.27108150720596313,21.380861282348633
combined,301,input_rotated,prior_splice_e050_r265,384,6,19,False,0.4081343114376068,0.43887075781822205,0.24043452739715576,0.32069480419158936,16.743383407592773
combined,301,input_rotated,short_e070_r265,384,1,21,False,0.16020424664020538,0.16055601835250854,0.672922670841217,0.16652126610279083,16.36707878112793
combined,301,input_rotated,sustained_e070_r255,384,14,30,False,0.8068207502365112,0.8204783201217651,0.016697701066732407,0.16282398998737335,13.1824951171875
unconditional,302,conditioned,neutral,384,0,0,False,0.0,0.010785277932882309,0.8570269346237183,0.1321878582239151,19.55882453918457
unconditional,302,conditioned,short_e015_r265,384,1,21,False,0.08079676330089569,0.08224470913410187,0.769491970539093,0.1482633352279663,19.55882453918457
unconditional,302,conditioned,sustained_e015_r255,384,13,30,False,0.8109955191612244,0.8808426856994629,0.017197877168655396,0.1019594743847847,19.55882453918457
unconditional,302,conditioned,prior_splice_e015_r265,384,8,20,False,0.5568294525146484,0.6266766786575317,0.1324223279953003,0.24090106785297394,19.55882453918457
unconditional,302,conditioned,prior_splice_e050_r265,384,6,19,False,0.4560869038105011,0.51595538854599,0.1324223279953003,0.3516223430633545,19.55882453918457
unconditional,302,conditioned,short_e070_r265,384,1,21,False,0.08079676330089569,0.08224470913410187,0.769491970539093,0.1482633352279663,19.55882453918457
unconditional,302,conditioned,sustained_e070_r255,384,14,30,False,0.8242160081863403,0.8940631747245789,0.017197877168655396,0.08873898535966873,19.55882453918457
unconditional,302,input_rotated,neutral,384,0,0,False,0.0,0.010785277932882309,0.8570269346237183,0.1321878582239151,19.55882453918457
unconditional,302,input_rotated,short_e015_r265,384,1,21,False,0.08079676330089569,0.08224470913410187,0.769491970539093,0.1482633352279663,19.55882453918457
unconditional,302,input_rotated,sustained_e015_r255,384,13,30,False,0.8109955191612244,0.8808426856994629,0.017197877168655396,0.1019594743847847,19.55882453918457
unconditional,302,input_rotated,prior_splice_e015_r265,384,8,20,False,0.5568294525146484,0.6266766786575317,0.1324223279953003,0.24090106785297394,19.55882453918457
unconditional,302,input_rotated,prior_splice_e050_r265,384,6,19,False,0.4560869038105011,0.51595538854599,0.1324223279953003,0.3516223430633545,19.55882453918457
unconditional,302,input_rotated,short_e070_r265,384,1,21,False,0.08079676330089569,0.08224470913410187,0.769491970539093,0.1482633352279663,19.55882453918457
unconditional,302,input_rotated,sustained_e070_r255,384,14,30,False,0.8242160081863403,0.8940631747245789,0.017197877168655396,0.08873898535966873,19.55882453918457
cover,302,conditioned,neutral,384,0,0,False,0.0,0.007807632442563772,0.895872175693512,0.09632030129432678,17.83661651611328
cover,302,conditioned,short_e015_r265,384,1,21,False,0.1780521124601364,0.17895610630512238,0.6491790413856506,0.1718648225069046,15.274825096130371
cover,302,conditioned,sustained_e015_r255,384,13,30,False,0.7965426445007324,0.8445168137550354,0.015926461666822433,0.13955673575401306,19.470243453979492
cover,302,conditioned,prior_splice_e015_r265,384,8,20,False,0.6340475678443909,0.7371124625205994,0.07758055627346039,0.18530705571174622,17.759422302246094
cover,302,conditioned,prior_splice_e050_r265,384,6,19,False,0.5474395155906677,0.6397103071212769,0.07870902121067047,0.28158068656921387,17.200504302978516
cover,302,conditioned,short_e070_r265,384,1,21,False,0.17807437479496002,0.1789783537387848,0.6491710543632507,0.1718505471944809,15.274664878845215
cover,302,conditioned,sustained_e070_r255,384,14,30,False,0.8368678092956543,0.8824728727340698,0.017135532572865486,0.10039162635803223,19.436552047729492
cover,302,input_rotated,neutral,384,0,0,False,0.0,0.0041077956557273865,0.9225793480873108,0.07331278175115585,19.436756134033203
cover,302,input_rotated,short_e015_r265,384,1,21,False,0.12407062947750092,0.1259123533964157,0.7164157629013062,0.1576720029115677,17.83661651611328
cover,302,input_rotated,sustained_e015_r255,384,13,30,False,0.8651767373085022,0.9062914252281189,0.004380060825496912,0.08932842314243317,15.274825096130371
cover,302,input_rotated,prior_splice_e015_r265,384,8,20,False,0.37117886543273926,0.4191530644893646,0.20615923404693604,0.37468767166137695,19.470243453979492
cover,302,input_rotated,prior_splice_e050_r265,384,6,19,False,0.5296250581741333,0.6271076798439026,0.07758331298828125,0.2953089773654938,17.759464263916016
cover,302,input_rotated,short_e070_r265,384,1,21,False,0.049378637224435806,0.05281189829111099,0.7995589971542358,0.1476290374994278,17.200504302978516
cover,302,input_rotated,sustained_e070_r255,384,14,30,False,0.8844398260116577,0.9255555868148804,0.004380581900477409,0.07006392627954483,15.274664878845215
masked,302,conditioned,neutral,384,0,0,False,0.0,0.019571514800190926,0.8101999163627625,0.1702284812927246,19.705474853515625
masked,302,conditioned,short_e015_r265,384,1,21,False,0.143013596534729,0.1436706781387329,0.6697579026222229,0.1865713745355606,19.820159912109375
masked,302,conditioned,sustained_e015_r255,384,13,30,False,0.7997362017631531,0.8536974191665649,0.01901557855308056,0.12728700041770935,19.68648338317871
masked,302,conditioned,prior_splice_e015_r265,384,8,20,False,0.652725338935852,0.7433891296386719,0.08635272085666656,0.17025825381278992,16.946134567260742
masked,302,conditioned,prior_splice_e050_r265,384,6,19,False,0.5877875089645386,0.6809127330780029,0.08123496174812317,0.23785234987735748,16.853422164916992
masked,302,conditioned,short_e070_r265,384,1,21,False,0.1430133432149887,0.14367042481899261,0.669757604598999,0.18657201528549194,19.820154190063477
masked,302,conditioned,sustained_e070_r255,384,14,30,False,0.8111392855644226,0.8696475028991699,0.01965266838669777,0.11069979518651962,19.85538673400879
masked,302,input_rotated,neutral,384,0,0,False,0.0,0.006756100803613663,0.8952624797821045,0.09798148274421692,19.85538673400879
masked,302,input_rotated,short_e015_r265,384,1,21,False,0.08245240151882172,0.08386891335248947,0.7289944887161255,0.18713662028312683,19.705474853515625
masked,302,input_rotated,sustained_e015_r255,384,13,30,False,0.8110988140106201,0.875800609588623,0.011232550255954266,0.1129668653011322,19.820159912109375
masked,302,input_rotated,prior_splice_e015_r265,384,8,20,False,0.4061591625213623,0.4601203501224518,0.24991445243358612,0.2899651825428009,19.68648338317871
masked,302,input_rotated,prior_splice_e050_r265,384,6,19,False,0.5826048851013184,0.668407678604126,0.08635265380144119,0.2452397644519806,16.94609832763672
masked,302,input_rotated,short_e070_r265,384,1,21,False,0.04732448607683182,0.04835077375173569,0.7897997498512268,0.1618495136499405,16.853422164916992
masked,302,input_rotated,sustained_e070_r255,384,14,30,False,0.8273378610610962,0.8920395970344543,0.011232606135308743,0.09672784805297852,19.820154190063477
contrast,302,conditioned,neutral,384,0,0,False,0.0,0.7737745046615601,0.011113602668046951,0.2151118665933609,8.115795135498047
contrast,302,conditioned,short_e015_r265,384,1,21,False,0.18227016925811768,0.1830339878797531,0.6457903981208801,0.17117559909820557,15.920099258422852
contrast,302,conditioned,sustained_e015_r255,384,13,30,False,0.7901858687400818,0.8220129609107971,0.03136719763278961,0.14661988615989685,19.058656692504883
contrast,302,conditioned,prior_splice_e015_r265,384,8,20,False,0.6422338485717773,0.7404522895812988,0.08351379632949829,0.1760338544845581,16.353363037109375
contrast,302,conditioned,prior_splice_e050_r265,384,6,19,False,0.5980420708656311,0.6788188815116882,0.09177511185407639,0.22940593957901,15.837579727172852
contrast,302,conditioned,short_e070_r265,384,1,21,False,0.18226198852062225,0.18302582204341888,0.6458033323287964,0.17117080092430115,15.920281410217285
contrast,302,conditioned,sustained_e070_r255,384,14,30,False,0.8138352036476135,0.8455139398574829,0.030910814180970192,0.12357529997825623,18.84662628173828
contrast,302,input_rotated,neutral,384,0,0,False,0.0,0.005411725956946611,0.925431489944458,0.0691566914319992,18.846927642822266
contrast,302,input_rotated,short_e015_r265,384,1,21,False,1.7602266666472133e-07,0.7737152576446533,0.011115736328065395,0.21516898274421692,8.115795135498047
contrast,302,input_rotated,sustained_e015_r255,384,13,30,False,0.8531439304351807,0.8856874704360962,0.010035496205091476,0.10427713394165039,15.920099258422852
contrast,302,input_rotated,prior_splice_e015_r265,384,8,20,False,0.399189293384552,0.43101629614830017,0.24605350196361542,0.3229301869869232,19.058656692504883
contrast,302,input_rotated,prior_splice_e050_r265,384,6,19,False,0.5893522500991821,0.6845861077308655,0.08351778984069824,0.2318960428237915,16.353422164916992
contrast,302,input_rotated,short_e070_r265,384,1,21,False,0.04650413617491722,0.04961615055799484,0.8075669407844543,0.14281675219535828,15.837579727172852
contrast,302,input_rotated,sustained_e070_r255,384,14,30,False,0.8674191832542419,0.8999630808830261,0.010035363025963306,0.09000150859355927,15.920281410217285
combined,302,conditioned,neutral,384,0,0,False,0.0,0.8865526914596558,0.09264538437128067,0.020801983773708344,182.78848266601562
combined,302,conditioned,short_e015_r265,384,1,21,False,0.16334563493728638,0.16622497141361237,0.6369057893753052,0.1968691647052765,18.726774215698242
combined,302,conditioned,sustained_e015_r255,384,13,30,False,0.8019326329231262,0.8549246191978455,0.023292317986488342,0.12178310006856918,19.822465896606445
combined,302,conditioned,prior_splice_e015_r265,384,8,20,False,0.6945756673812866,0.8069457411766052,0.05146504566073418,0.14158916473388672,15.90335750579834
combined,302,conditioned,prior_splice_e050_r265,384,6,19,False,0.6420060992240906,0.7397774457931519,0.052505336701869965,0.2077171504497528,15.158080101013184
combined,302,conditioned,short_e070_r265,384,1,21,False,0.16334548592567444,0.16622482240200043,0.6369062662124634,0.19686898589134216,18.726787567138672
combined,302,conditioned,sustained_e070_r255,384,14,30,False,0.8157505393028259,0.871017336845398,0.02328595519065857,0.10569661855697632,19.83188247680664
combined,302,input_rotated,neutral,384,0,0,False,0.0,0.006113370880484581,0.8927680850028992,0.1011185348033905,19.831892013549805
combined,302,input_rotated,short_e015_r265,384,1,21,False,0.001671177102252841,0.8860068321228027,0.08771965652704239,0.026273582130670547,182.78848266601562
combined,302,input_rotated,sustained_e015_r255,384,13,30,False,0.8284801244735718,0.9008829593658447,0.007048116065561771,0.09206894040107727,18.726774215698242
combined,302,input_rotated,prior_splice_e015_r265,384,8,20,False,0.4893389940261841,0.5423309803009033,0.17684109508991241,0.28082796931266785,19.822465896606445
combined,302,input_rotated,prior_splice_e050_r265,384,6,19,False,0.6230783462524414,0.7306973934173584,0.051464855670928955,0.21783781051635742,15.903349876403809
combined,302,input_rotated,short_e070_r265,384,1,21,False,0.029172392562031746,0.03322552889585495,0.8105612993240356,0.15621311962604523,15.158080101013184
combined,302,input_rotated,sustained_e070_r255,384,14,30,False,0.8400886654853821,0.9124915599822998,0.007048106752336025,0.08046039193868637,18.726787567138672
uniform_grid,NA,conditioned,neutral,384,0,0,False,0.0,0.3567708432674408,0.6197916269302368,0.0234375,383.99981689453125
uniform_grid,NA,conditioned,short_e015_r265,384,1,21,False,0.0026041667442768812,0.3567708432674408,0.6119791269302368,0.03124999813735485,383.99981689453125
uniform_grid,NA,conditioned,sustained_e015_r255,384,13,30,False,0.0338541679084301,0.4114583730697632,0.5677083134651184,0.0208333320915699,383.99981689453125
uniform_grid,NA,conditioned,prior_splice_e015_r265,384,8,20,False,0.02083333395421505,0.3984375596046448,0.5833333134651184,0.0182291679084301,383.99981689453125
uniform_grid,NA,conditioned,prior_splice_e050_r265,384,6,19,False,0.015625,0.3906250596046448,0.5833333134651184,0.0260416679084301,383.99981689453125
uniform_grid,NA,conditioned,short_e070_r265,384,1,21,False,0.0026041667442768812,0.3567708432674408,0.6119791269302368,0.03124999813735485,383.99981689453125
uniform_grid,NA,conditioned,sustained_e070_r255,384,14,30,False,0.0364583358168602,0.4140625596046448,0.5677083134651184,0.01822916604578495,383.99981689453125
geometry_screened_uniform,NA,conditioned,neutral,384,0,0,False,0.0,1.0,0.0,0.0,137.0000762939453
geometry_screened_uniform,NA,conditioned,short_e015_r265,384,1,21,False,0.007299270015209913,1.0,0.0,0.0,137.0000762939453
geometry_screened_uniform,NA,conditioned,sustained_e015_r255,384,13,30,False,0.08227848261594772,0.9999999403953552,0.0,0.0,157.99998474121094
geometry_screened_uniform,NA,conditioned,prior_splice_e015_r265,384,8,20,False,0.05228758603334427,1.0,0.0,0.0,153.0000762939453
geometry_screened_uniform,NA,conditioned,prior_splice_e050_r265,384,6,19,False,0.03999999910593033,1.0,0.0,0.0,149.99993896484375
geometry_screened_uniform,NA,conditioned,short_e070_r265,384,1,21,False,0.007299270015209913,1.0,0.0,0.0,137.0000762939453
geometry_screened_uniform,NA,conditioned,sustained_e070_r255,384,14,30,False,0.08805031329393387,0.9999998807907104,0.0,0.0,159.00003051757812
critical_oracle,NA,conditioned,neutral,384,0,0,True,0.0,0.0,0.0,0.0,0.0
critical_oracle,NA,conditioned,short_e015_r265,384,1,21,False,1.0,1.0,0.0,0.0,1.0
critical_oracle,NA,conditioned,sustained_e015_r255,384,13,30,False,1.0000001192092896,1.0000001192092896,0.0,0.0,13.000001907348633
critical_oracle,NA,conditioned,prior_splice_e015_r265,384,8,20,False,1.0,1.0,0.0,0.0,8.0
critical_oracle,NA,conditioned,prior_splice_e050_r265,384,6,19,False,1.0,1.0,0.0,0.0,6.000000953674316
critical_oracle,NA,conditioned,short_e070_r265,384,1,21,False,1.0,1.0,0.0,0.0,1.0
critical_oracle,NA,conditioned,sustained_e070_r255,384,14,30,False,1.0,1.0,0.0,0.0,13.99999713897705
old_gaussian_cnn,101,conditioned,neutral,384,0,0,False,0.0,1.0,0.0,0.0,7.283101558685303
old_gaussian_cnn,101,conditioned,short_e015_r265,384,1,21,False,0.0,1.0,0.0,0.0,7.427137851715088
old_gaussian_cnn,101,conditioned,sustained_e015_r255,384,13,30,False,0.0,1.0,0.0,0.0,7.511173725128174
old_gaussian_cnn,101,conditioned,prior_splice_e015_r265,384,8,20,False,0.0,1.0000001192092896,0.0,0.0,7.377233982086182
old_gaussian_cnn,101,conditioned,prior_splice_e050_r265,384,6,19,False,0.0,1.0,0.0,0.0,7.385768413543701
old_gaussian_cnn,101,conditioned,short_e070_r265,384,1,21,False,0.0,1.0,0.0,0.0,7.427137851715088
old_gaussian_cnn,101,conditioned,sustained_e070_r255,384,14,30,False,0.0,1.0,0.0,0.0,7.5224409103393555
old_gaussian_cnn,102,conditioned,neutral,384,0,0,False,0.0,1.0,0.0,0.0,1.0
old_gaussian_cnn,102,conditioned,short_e015_r265,384,1,21,False,0.0,1.0,0.0,0.0,1.0
old_gaussian_cnn,102,conditioned,sustained_e015_r255,384,13,30,False,0.0,1.0,0.0,0.0,1.0
old_gaussian_cnn,102,conditioned,prior_splice_e015_r265,384,8,20,False,0.0,1.0,0.0,0.0,1.0
old_gaussian_cnn,102,conditioned,prior_splice_e050_r265,384,6,19,False,0.0,1.0,0.0,0.0,1.0
old_gaussian_cnn,102,conditioned,short_e070_r265,384,1,21,False,0.0,1.0,0.0,0.0,1.0
old_gaussian_cnn,102,conditioned,sustained_e070_r255,384,14,30,False,0.0,1.0,0.0,0.0,1.0
