experiment,cell_id,reference_csv,scene,outcome,accepted,route_axis,station_x_m,station_y_m,commanded_reach_m,executed_reach_m,delivery_residual_mm,reference_frames,executed_frames,endpoint_error_m,schedule_error_p95_m
E1A_2026-08-20,duck_003__adapted_hard__repeat_2,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/056_a_person_walks_at_a_steady_pace_and_ducks_down_l_s0.csv,cf_005_056_hard,accepted,1,x,2.9673779010772705,0.16555167734622955,1.039945646407396,1.2374962034579278,197.5505570505318,120,199,0.3078345850996281,0.30443239893063756
E1A_2026-08-20,duck_003__nominal_easy__repeat_1,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cf_005_056_easy,accepted,1,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.3017249889028095,-3.415519023021174,120,199,0.15103796288154908,0.14396152752457567
E1A_2026-08-20,duck_003__nominal_easy__repeat_2,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cf_005_056_easy,accepted,1,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.3016565373470637,-3.483970578767037,120,199,0.0974460477084395,0.1453957925546715
E1A_2026-08-20,duck_003__nominal_hard__repeat_1,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cf_005_056_hard,rejected,0,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.3017249889028095,-3.415519023021174,120,199,1.4617413433738662,1.3391820577113835
E1A_2026-08-20,duck_003__nominal_hard__repeat_2,/data/robotixx/groot-wbc-kimodo-m0/taxonomy/motions_4s/005_a_person_walks_at_a_steady_pace_in_a_straight_li_s0.csv,cf_005_056_hard,rejected,0,x,2.2167601585388184,-0.19296666979789734,1.3051405079258307,1.3016565373470637,-3.483970578767037,120,199,1.3766509201047568,1.2703020722523692
E1A_2026-08-20,mf_005_c08__adapted_easy__repeat_1,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_crouch08.csv,mf_005_c08_easy,accepted,1,x,2.21676,-0.192967,1.2074328397948506,1.2351412973467888,27.70845755193818,120,199,0.2860311976265372,0.3189173811731942
E1A_2026-08-20,mf_005_c08__adapted_easy__repeat_2,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_crouch08.csv,mf_005_c08_easy,accepted,1,x,2.21676,-0.192967,1.2074328397948506,1.2333935107898784,25.960670995027748,120,199,0.3262036650503342,0.31594246918818386
E1A_2026-08-20,mf_005_c08__adapted_hard__repeat_1,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_crouch08.csv,mf_005_c08_hard,accepted,1,x,2.21676,-0.192967,1.2074328397948506,1.2351412973467888,27.70845755193818,120,199,0.28307826176919976,0.3189173811731942
E1A_2026-08-20,mf_005_c08__adapted_hard__repeat_2,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_crouch08.csv,mf_005_c08_hard,accepted,1,x,2.21676,-0.192967,1.2074328397948506,1.2333935107898784,25.960670995027748,120,199,0.3262036650503342,0.31594246918818386
E1A_2026-08-20,mf_005_c08__nominal_easy__repeat_1,/data/robotixx/groot-wbc-kimodo-m0/modebank/sweep/w_nominal.csv,mf_005_c08_easy,accepted,1,x,2.21676,-0.192967,1.3051409640637959,1.3019113861697942,-3.2295778940016895,120,199,0.15894962613857525,0.15485608781032842
