experiment,cell_id,motion_pkl,reference_csv,scene,outcome,accepted,rejection_reasons,endpoint_error_m,schedule_error_p95_m,drift_rate_mps,max_external_contact_force_n,max_self_contact_force_n,executed_frames,frames,path_length_m,net_displacement_m,straightness,mean_speed_mps,heading_change_rad,root_height_mean_m,root_height_min_m,role,baseline_csv,commanded_drop_m,commanded_left_reduction_m,commanded_right_reduction_m,commanded_max_joint_change_rad,commanded_active_fraction
CROUCH_CALIBRATION_2026-08-20,lfh_095_crouch__cal_adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_095_crouch/adapted.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_095_crouch/adapted.csv,screen_empty,rejected,0,reference_endpoint_tracking_error,0.39698759180222654,0.34203056571207857,,0.0,21.83587133477679,199,120,5.71739129317217,5.685388060416954,0.9944024763892869,1.4293478232930426,0.3750522319838052,0.7354441227633333,0.5962717484,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_095_crouch/nominal.csv,0.07998572280000005,0.0,-0.032365872694759185,0.9327465821000003,0.125
CROUCH_CALIBRATION_2026-08-20,lfh_095_crouch__cal_nominal,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_095_crouch/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_095_crouch/nominal.csv,screen_empty,accepted,1,,0.113360943876843,0.06105233789689493,,0.0,73.89993874728941,199,120,5.71739129317217,5.685388060416954,0.9944024763892869,1.4293478232930426,0.3750522319838052,0.7540960927775,0.7099608779,nominal,,,,,,
E10B_CONTEXT_RICH_SEED_CONTROL_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__adapted_easy,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__easy,accepted,1,,0.24581118628874507,0.25624788100548745,0.11772168213357911,0.0,29.441948222827172,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7363965792133335,0.6174173838,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,0.08000889939999989,0.0,0.0,0.9382495118000002,0.13333333333333333
E10B_CONTEXT_RICH_SEED_CONTROL_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__adapted_hard,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__hard,accepted,1,,0.24581118628874507,0.25624788100548745,0.11772168213357911,0.0,29.441948222827172,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7363965792133335,0.6174173838,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,0.08000889939999989,0.0,0.0,0.9382495118000002,0.13333333333333333
E10B_CONTEXT_RICH_SEED_CONTROL_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__nominal_easy,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__easy,accepted,1,,0.037061772371716,0.06506581799234804,-0.0008466023169825111,0.0,103.052438328066,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7580079004183333,0.7312200665,nominal,,,,,,
E10B_CONTEXT_RICH_SEED_CONTROL_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__nominal_hard,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00032301__hard,rejected,0,disallowed_robot_contact|unstable_reference_drift,0.33154050208606795,0.35615683223861083,0.18013435002128322,106.22898717184749,88.26727147651847,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7580079004183333,0.7312200665,nominal,,,,,,
E10_CONTEXT_RICH_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__adapted_easy,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__easy,rejected,0,unstable_reference_drift,0.3204482335647017,0.32466372070086025,0.15274053685683167,0.0,22.855029599057026,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7363965792133335,0.6174173838,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,0.08000889939999989,0.0,0.0,0.9382495118000002,0.13333333333333333
E10_CONTEXT_RICH_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__adapted_hard,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/adapted.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__hard,rejected,0,unstable_reference_drift,0.3204482335647017,0.32466372070086025,0.15274053685683167,0.0,22.855029599057026,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7363965792133335,0.6174173838,adapted,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,0.08000889939999989,0.0,0.0,0.9382495118000002,0.13333333333333333
E10_CONTEXT_RICH_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__nominal_easy,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__easy,accepted,1,,0.11121874629397469,0.14291940632967243,0.05258636218197159,0.0,18.457922866290534,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7580079004183333,0.7312200665,nominal,,,,,,
E10_CONTEXT_RICH_2026-08-21,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__nominal_hard,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.pkl,/data/robotixx/groot-wbc-kimodo-m0/lfh_crouch_calibration/lfh_086_crouch/nominal.csv,cs_lfh_086_crouch_cal3_d0100__hanging_panel_context4__s00033101__hard,rejected,0,disallowed_robot_contact|unstable_reference_drift,0.33903399082434393,0.3442216825884177,0.1764560485706955,1295.95516658107,16.972112497065943,199,120,3.7235001295794885,3.6873899489190314,0.9903020869064573,0.9308750323948721,1.4355539050647304,0.7580079004183333,0.7312200665,nominal,,,,,,
