motion_id,operator,α,keypoint,axis,commanded_mm,executed_mm
lfh_086_arm_tuck_left,local_arm_tuck,0.3333333333333333,foot_right,lateral_left,0.0,-1.8068598528693838
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,head_torso,lateral_left,0.0,-1.6284214028797483
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,shoulder_left,lateral_left,18.88711557761763,5.657425900646551
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,shoulder_right,lateral_left,0.0,-1.7278129136755056
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,wrist_left,lateral_left,40.019767969099675,12.206446346252953
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,wrist_right,lateral_left,0.0,1.9230259617969425
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,pelvis,lateral_left,0.0,0.4819640486410093
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,knee_left,lateral_left,0.0,1.784813961737075
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,knee_right,lateral_left,0.0,0.6130471346365053
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,foot_left,lateral_left,0.0,3.9660033227636724
lfh_086_arm_tuck_left,local_arm_tuck,0.6666666666666666,foot_right,lateral_left,0.0,0.5923946156605048
lfh_086_arm_tuck_left,local_arm_tuck,1.0,head_torso,lateral_left,0.0,-2.699724765802991
lfh_086_arm_tuck_left,local_arm_tuck,1.0,shoulder_left,lateral_left,28.648340297440843,5.775542699687608
lfh_086_arm_tuck_left,local_arm_tuck,1.0,shoulder_right,lateral_left,0.0,-2.839559064082384
lfh_086_arm_tuck_left,local_arm_tuck,1.0,wrist_left,lateral_left,57.2849202651598,8.328861258527109
lfh_086_arm_tuck_left,local_arm_tuck,1.0,wrist_right,lateral_left,0.0,-1.2233472025494074
lfh_086_arm_tuck_left,local_arm_tuck,1.0,pelvis,lateral_left,0.0,0.5988728364970247
lfh_086_arm_tuck_left,local_arm_tuck,1.0,knee_left,lateral_left,0.0,3.3142176304649382
lfh_086_arm_tuck_left,local_arm_tuck,1.0,knee_right,lateral_left,0.0,3.2276133602780757
lfh_086_arm_tuck_left,local_arm_tuck,1.0,foot_left,lateral_left,0.0,6.178042437942649
lfh_086_arm_tuck_left,local_arm_tuck,1.0,foot_right,lateral_left,0.0,3.6196431953788264
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,head_torso,lateral_right,0.0,-7.614765271446084
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,shoulder_left,lateral_right,0.0,-8.032098689380804
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,shoulder_right,lateral_right,11.123048526612333,2.757449261954148
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,wrist_left,lateral_right,0.0,-0.2513234982931545
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,wrist_right,lateral_right,21.590257907455555,1.990092009436062
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,pelvis,lateral_right,0.0,-0.6854463439112946
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,knee_left,lateral_right,0.0,-0.8622386448928349
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,knee_right,lateral_right,0.0,-4.700966823559777
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,foot_left,lateral_right,0.0,9.378214801072177
lfh_092_arm_tuck_right,local_arm_tuck,0.3333333333333333,foot_right,lateral_right,0.0,-14.797249099470166
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,head_torso,lateral_right,0.0,-6.450501867650837
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,shoulder_left,lateral_right,0.0,-6.916177818203112
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,shoulder_right,lateral_right,16.078434468197123,3.7295145938624485
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,wrist_left,lateral_right,0.0,1.484100566709723
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,wrist_right,lateral_right,43.39869088794085,2.6963424925681156
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,pelvis,lateral_right,0.0,-0.6717621882099123
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,knee_left,lateral_right,0.0,-0.8444523723659253
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,knee_right,lateral_right,0.0,-3.6604552847049607
lfh_092_arm_tuck_right,local_arm_tuck,0.6666666666666666,foot_left,lateral_right,0.0,11.846292671370302
